index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
27384,256,256,0,1406.3567,120.1163,0.0000,255.0000,58.1038,12029,1.0000
27385,256,256,0,1455.7128,135.3350,23.0000,255.0000,76.2889,11385,0.8345
27386,256,256,0,1478.3235,64.2324,0.0000,255.0000,53.3924,14043,1.0000
27387,256,256,0,1844.6337,67.1193,0.0000,255.0000,43.4988,12536,1.0000
27388,256,256,0,2210.5457,112.6615,0.0000,255.0000,45.5958,11565,1.0000
27389,256,256,0,2879.1885,142.9374,0.0000,255.0000,65.4660,16492,1.0000
27390,256,256,0,3263.0381,108.1063,0.0000,255.0000,44.1379,19474,1.0000
27391,256,256,0,1214.9146,122.7621,0.0000,255.0000,62.4587,13862,1.0000
27392,256,256,0,5541.1953,123.6468,0.0000,255.0000,69.9782,21737,1.0000
27393,256,256,0,1081.2623,119.6055,0.0000,255.0000,67.0081,11740,1.0000
27394,256,256,0,999.8845,128.4670,0.0000,235.0000,48.2402,12879,1.0000
27395,256,256,0,1004.7710,102.6111,0.0000,255.0000,43.9616,12810,1.0000
27396,256,256,0,2968.2737,92.6236,0.0000,245.0000,33.1637,18854,1.0000
27397,256,256,0,2281.4417,129.1807,0.0000,255.0000,61.0239,15794,1.0000
27398,256,256,0,4340.8105,116.8911,0.0000,255.0000,64.8366,17570,1.0000
27399,256,256,0,2420.3054,131.8287,0.0000,255.0000,60.2415,14878,1.0000
27400,256,256,0,2425.6301,84.4729,0.0000,255.0000,77.4245,13049,1.0000
27401,256,256,0,1290.2722,102.4688,0.0000,255.0000,57.6633,11515,1.0000
27402,256,256,0,3584.1567,63.3148,0.0000,255.0000,54.2469,17118,1.0000
27403,256,256,0,1252.1987,154.9566,0.0000,255.0000,86.1426,11852,1.0000
27404,256,256,0,2222.0598,111.8141,0.0000,249.0000,60.2284,15813,1.0000
27405,256,256,0,1760.8141,109.2126,0.0000,255.0000,56.4027,15776,1.0000
27406,256,256,0,3464.8398,110.0130,0.0000,255.0000,63.1954,18143,1.0000
27407,256,256,0,390.3578,95.5089,0.0000,221.0000,50.4720,9112,1.0000
27408,256,256,0,3089.5996,114.9788,0.0000,255.0000,74.0916,18306,1.0000
27409,256,256,0,1494.3396,129.4011,0.0000,249.0000,63.1152,12386,1.0000
27410,256,256,0,611.9451,57.5666,0.0000,234.0000,56.4549,9441,1.0000
27411,256,256,0,2417.2571,114.7865,0.0000,255.0000,76.2344,14439,1.0000
27412,256,256,0,625.5297,189.9292,0.0000,255.0000,67.2383,8964,1.0000
27413,256,256,0,2700.8550,82.3755,0.0000,255.0000,56.2246,17405,1.0000
27414,256,256,0,398.9065,135.3183,0.0000,255.0000,33.0446,8238,1.0000
27415,256,256,0,3331.2095,105.5271,0.0000,255.0000,81.9194,16108,1.0000
27416,256,256,0,1254.7842,194.2732,0.0000,255.0000,59.6583,7349,1.0000
27417,256,256,0,999.8512,86.1913,0.0000,255.0000,41.5024,11749,1.0000
27418,256,256,0,1825.2734,136.9508,0.0000,255.0000,48.0435,15609,1.0000
27419,256,256,0,864.1556,35.5823,0.0000,255.0000,56.9678,10582,1.0000
27420,256,256,0,4855.9360,116.9621,0.0000,255.0000,71.6639,19204,1.0000
27421,256,256,0,1952.4279,124.3573,0.0000,255.0000,65.1311,14369,1.0000
27422,256,256,0,2273.2634,134.8728,0.0000,255.0000,70.6150,17030,1.0000
27423,256,256,0,1192.7450,127.3343,0.0000,255.0000,64.8993,10868,1.0000
27424,256,256,0,2770.4482,102.9804,0.0000,255.0000,58.3221,14498,1.0000
27425,256,256,0,1069.6608,121.9067,0.0000,255.0000,63.1474,11921,1.0000
27426,256,256,0,1021.7546,113.0543,0.0000,255.0000,52.9956,8201,1.0000
27427,256,256,0,2729.3101,121.0578,0.0000,255.0000,46.2960,16118,1.0000
27428,256,256,0,825.3039,91.1212,0.0000,255.0000,71.5240,11748,1.0000
27429,256,256,0,1661.5657,90.3451,0.0000,255.0000,60.4617,9974,1.0000
27430,256,256,0,1118.5692,43.1416,0.0000,255.0000,57.8730,12326,1.0000
27431,256,256,0,861.8852,117.7424,0.0000,255.0000,38.6415,10097,1.0000
27432,256,256,0,1057.8271,118.6384,0.0000,255.0000,36.0052,12715,1.0000
27433,256,256,0,3799.1692,103.5339,0.0000,255.0000,61.3195,19242,1.0000
27434,256,256,0,265.5804,95.3108,0.0000,201.0000,40.3832,7829,1.0000
27435,256,256,0,1528.9523,132.3524,0.0000,255.0000,49.5785,13777,1.0000
27436,256,256,0,1268.8375,113.4022,0.0000,235.0000,69.3736,11756,1.0000
27437,256,256,0,1261.7119,100.3116,0.0000,255.0000,85.7018,10569,1.0000
27438,256,256,0,2274.6404,136.6072,0.0000,255.0000,73.3321,13642,1.0000
27439,256,256,0,995.6508,108.7144,0.0000,255.0000,62.2725,11611,1.0000
